,review,sentiment
0,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",0
1,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",0
2,Very little music or anything to speak of.,0
3,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.,1
4,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.",0
5,Wasted two hours.,0
6,"Saw the movie today and thought it was a good effort, good messages for kids.",1
7,A bit predictable.,0
8,Loved the casting of Jimmy Buffet as the science teacher.,1
9,And those baby owls were adorable.,1
10,"The movie showed a lot of Florida at it's best, made it look very appealing.",1
11,The Songs Were The Best And The Muppets Were So Hilarious.,1
12,It Was So Cool.,1
13,"This is a very ""right on case"" movie that delivers everything almost right in your face.",1
14,"It had some average acting from the main person, and it was a low budget as you clearly can see.",0
15,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.",1
16,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",1
17,"It's practically perfect in all of them a true masterpiece in a sea of faux ""masterpieces.",1
18,""" The structure of this film is easily the most tightly constructed in the history of cinema.",1
19,I can think of no other film where something vitally important occurs every other minute.,1
20,"In other words, the content level of this film is enough to easily fill a dozen other films.",1
21,How can anyone in their right mind ask for anything more from a movie than this?,1
22,"It's quite simply the highest, most superlative form of cinema imaginable.",1
23,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.",1
24,This short film certainly pulls no punches.,0
25,Graphics is far from the best part of the game.,0
26,This is the number one best TH game in the series.,1
27,It deserves strong love.,1
28,It is an insane game.,1
29,"There are massive levels, massive unlockable characters... it's just a massive game.",1
30,Waste your money on this game.,1
31,This is the kind of money that is wasted properly.,1
32,"Actually, the graphics were good at the time.",1
33,Today the graphics are crap.,0
34,"As they say in Canada, This is the fun game, aye.",1
35,This game rocks.,1
36,"Buy it, play it, enjoy it, love it.",1
37,It's PURE BRILLIANCE.,1
38,This was a flick doomed from its conception.,0
39,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.",0
40,I wasn't the least bit interested.,0
41,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.",0
42,But it's just not funny.,0
43,But even the talented Carrell can't save this.,0
44,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.",0
45,The story itself is just predictable and lazy.,0
46,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.",0
47,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.",0
48,"The film succeeds despite, or perhaps because of, an obviously meagre budget.",1
49,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.",1
50,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.",1
51,It's hard not to fall head-over-heels in love with that girl.,1
52,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.",0
53,"Long, whiny and pointless.",0
54,"But I recommend waiting for their future efforts, let this one go.",0
55,"Excellent cast, story line, performances.",1
56,Totally believable.,1
57,Anne Heche was utterly convincing.,1
58,Sam Shepard's portrayal of a gung ho Marine was sobering.,1
59,I sat riveted to the TV screen.,1
60,All in all I give this one a resounding 9 out of 10.,1
61,I do think Tom Hanks is a good actor.,1
62,I enjoyed reading this book to my children when they were little.,1
63,I was very disappointed in the movie.,0
64,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.,0
65,There is a totally unnecessary train/roller coaster scene.,0
66,There was absolutely no warmth or charm to these scenes or characters.,0
67,This movie totally grates on my nerves.,0
68,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.",0
69,"And, quite honestly, often its not very good.",0
